course_name,course_code,description,learning_objectives,level,faculty,program,url
General and Inorganic Chemistry,4051ALACHY,"The course offers a general view of the inorganic and physical fundaments of chemistry.
Part 1: A description of matter at the microscopic level, with an emphasis on atomic and molecular structure.
Part 2: The structure of solids, description of gasses and liquids/solutions, phase transitions. Introduction to the chemical
conversion of compounds, with an emphasis on acid-base and electrochemical reactions; the thermodynamic and kinetic
description of reactions and the origin of equilibria. Emphasis is repeatedly focused on the Lithium-ion battery, the fuel cell and
the production and storage of hydrogen.","Upon completion of the course, the student will recall the molecular structure of materials and is able to explain the relation
between atomic/molecular structure and macroscopic properties. The student is familiar with the elementary principles of
thermodynamics and reaction kinetics and is able to apply these to chemical reactions and equilibria, in particular with regard to
acid-base reactions and electrochemistry. Together with fellow students, the student knows how to study an inorganic subject in
depth and present the essentials in an oral presentation. The student can use Microsoft Excel for data storage, for the calculation
of inorganic and physic-chemical parameters and for the reproduction of simple functions.",Bachelor,Applied Sciences,Bachelor Molecular Science and Technology,
Calculus 1,4051CALC1Y,"Calculus course with the subjects Complex numbers, Limits and differentiation, Integrate, Differential equations, Series, Vectors
lines and planes.","Complex numbers:
- The student can perform arithmetic operations with complex numbers, determine the modulus and argument of a complex
number, write a complex number as e-power and make a sketch of the complex number in the complex plane.
- The student can solve quadratic equations and determine the nth roots of a complex number.
Limits and differentiation:
- The student knows the concepts of limit, continuity, differentiability and differential.
- The student can determine limits by clamping, by distributing the main element, with the rule of the l'Hospital, and with Taylor
polynomials.
- The student can differentiate implicitly, and determine tangents to curves and linearisations of functions.
Integration:
- The student can calculate simple, indefinite and specific (single) integrals, if necessary by using: substitution, fractional splits
and partial integration.
- The student knows the (properties of) the inverse functions arcsin, arccos and arctan.
- The student recognizes improper integrals and can determine whether they are convergent or divergent.
Differential equations:
- The student can prepare a differential equation for some physical situations.
- The student can solve 1st-order differential equations by filling in an e-power, using separation of variables or by means of an
integrating factor.
- The student can approach the solution with the Euler method.
- The student can solve both homogeneous and simple inhomogeneous, linear 2nd-order differential equations with constant
coefficients.
- The student can describe solutions of the form A cos (omega t) + B sin (omega t) in the form C cos (omega t - alpha).
Series:
- The student can use the sum notation. The student knows the definitions of convergent and divergent rows and series. The
student can determine the limit of a convergent recursively defined row.
- The student recognizes geometric series and p series and knows when they are convergent or divergent. The student can
determine the sum of a convergent geometric series.
- The student can demonstrate divergence of series with the nth-term test and apply the integrated test to demonstrate
convergence or divergence.
- The student can approach a function with a Taylor polynomial and estimate the error at a certain interval.
Vectors, lines and surfaces:
- The student can add vectors and scalarly multiply. The student can calculate products, lengths, distances, angles and
determinants internally and externally. The student can calculate surfaces of triangles and parallelograms and volumes of
tetrahedra and parallelepipeda.
- The student can draw up an equation for a sphere with a center point and a radius, and can conversely (possibly split off with
squares) determine the center point and radius from an equation for a sphere
- The student can determine parameter representations of lines and planes, and with the aid of a normal vector determine an
equation for a plane.",Bachelor,Applied Sciences,Bachelor Molecular Science and Technology,
Calculus 2,4051CALC2Y,"Functions of more variables, multiple integrals, linear algebra","From functions of more variables, the student can determine partial derivatives, interfaces, extreme values, directional
derivatives and gradients.
The student can use these quantities to approach and optimize.
The student can integrate functions over two- and three-dimensional areas, also with the help of polar, cylinder and sphere
coordinates.
The student can solve systems of linear equations and give the solutions in a parameter representation.
The student can multiply and invert matrices. The student can determine the determinant and values and vectors of 2x2 matrices.",Bachelor,Applied Sciences,Bachelor Molecular Science and Technology,
Methods of Chemical Analysis,4051CHAN3Y,"Experimental error, statistics, quality control, introduction to analytical separation techniques, high performance liquid
chromatography, other chromatographic methods and electrophoresis, spectrophotometry, mass spectroscopy","Upon completion of the course, the student will have obtained insight to considering experimental errors and the basic principles
of chromatography and spectroscopic methods",Bachelor,Applied Sciences,Bachelor Molecular Science and Technology,
Chemical Thermodynamics (CTD),4051CHTHEY,"Fundamental concepts
Heat, work and internal energy
The importance of state functions
Thermochemistry
Entropy and the second and third law of thermodynamics
Chemical Equilibrium
The properties of real gasses
Phase diagrams and the relative stability of solids, liquids and gases
Ideal and real solutions","After studying the course, the student must:
a. have knowledge of the basic concepts and laws of thermodynamics;
b. be able to qualitatively predict the behavior of simple thermodynamic systems on the basis of thermodynamic laws;
c. being able to do simple processes and systems based on the learned quantitative calculations
You should be able to answer questions such as:
What are the laws governing the behavior of an (ideal) gas?
What is the specific heat?
Why is it impossible to convert heat completely into work?
What is the energy available for work?
What is an adiabatic process?
What is a reversible process?
What is a Carnot cycle?
How to increase the efficiency of cycles.
Calculate the entropy, enthalpy and Gibbs energy or a chemical reaction and their dependence on temperature and pressure.
Determine the equilibrium constant or a reaction and its dependence on temperature and pressure.
What is the difference between real and ideal gasses?
How do you calculate the osmotic pressure?",Bachelor,Applied Sciences,Bachelor Molecular Science and Technology,
Inorganic Chemistry,4051INCHE,"Concepts from coordination chemistry are explained on the basis of important applications of metals in nature, in medicine, in
materials or in homogeneous catalysis. These terms include: nature of coordination binding; coordination number, symmetry,
geometry and isomerism of complexes; 18-electron rule; stability and reactivity of complexes; spin states and magnetism;
oxidation states and redox chemistry, ligand field breakdowns and ligand field stabilization energy.","After passing the exam:
- the student is able to explain and apply the different aspects of coordination chemistry (including isomerism, jargon).
- the student can reason the ligand field breakdown of d-orbitals in different geometries.
- the student can make a judgment about the stability and reactivity of a random coordination connection.
- the student is familiar with important applications of coordination chemistry in, for example, medicine and catalysis.",Bachelor,Applied Sciences,Bachelor Molecular Science and Technology,
Introduction to Process Technology,4051IPTECY,"Solving elementary problems in process technology through application of mass balances, energy balances and equilibrium
relationships.","By the end of the course, students should be able to:
1. Recognize engineering roles in society.
2. Recognize the nomenclature of chemical engineering. Know systems of units and dimensions. Define and relate process
variables. Learn basic unit operations of chemical processes and describe how each works qualitatively.
3 (!!!). Use a systematic approach to solve chemical engineering problems. Identify variables, draw and label a process flow
chart from a word description. Perform and use degrees of freedom analysis. Formulate mathematical expressions that represent
word problems.
4. Work effectively in teams. Recognize the skills needed to function in a team. Write a clearly structured report.",Bachelor,Applied Sciences,Bachelor Molecular Science and Technology,
Undergraduate Research Project 1 (LO1),4051LEON1Y,Students carry out experiments in small groups as part of ongoing research at one of the research groups in Leiden or Delft.,"1.(cid:9)Literature search. Knowledge of relevant literature and data sources
2.(cid:9)Getting ready for practical experimentation: The capability to prepare experiments (define the goals, describe the experimental
details); Environment and safety: the ability to work safely with chemicals, taking into account their physical and chemical
properties, with special regard for the possible specific dangers that are associated with these compounds; Proficiency in making
a risk analysis of the use of chemicals.
3.(cid:9)The gathering and compilation of experimental data:
Dexterity in carrying out standard laboratory experiments, as well as in the use of instrumentation for synthetic and analytical
tasks; Dexterity in following the progress of the experiment, by collecting data from observation and measurements and
reporting them correctly (as e.g. in a lab journal).
4.(cid:9)The analysis and processing of experimental data: The evaluation and interpretation of observations and data collected in the
laboratory and the ability to relate these to an appropriate theory; Ethics: perception of ones professional and ethical
responsibility.
5.(cid:9)Employment attitude and teamwork: Dedication, motivation, enthusiasm, creativity; Capability to work in a (multicultural and
multidisciplinary) team; Active participation, effective cooperation, effectiveness in discussions, social contacts.
6.(cid:9)Reporting: Ability to report, both orally and in writing, with proper regard for the requirements demanded by scientific
communication and responsiveness; Proficiency in effective communication, in the Dutch as well as in the English language,
thereby using modern ways and means of presentation.",Bachelor,Applied Sciences,Bachelor Molecular Science and Technology,
Organic Chemistry and Structural Analysis,4051OCSTRY,"Functional groups, hybridization and orbitals. Delocalization and conjugation. Inductive effects and steric hindrance. Acids and
bases and their qualitative strength. Reactions of aldehydes, ketones, carboxylic acids and derivatives and the corresponding
mechanisms. Aromaticity. Thermodynamics and kinetics of reactions, mechanisms.
Introduction to spectroscopic methods: UV-VIS, 13 C-NMR and 1 H-NMR, chemical shift, spin-spin coupling, IR spectroscopy
Stereochemistry and chirality. Enantiomers and diastereomers, racemic mixtures. Conformation analysis, Newman projection,
1.3 diaxilal interaction. Substitution reactions of aliphatic compounds and associated mechanisms. Nucleophilicity and leaving
group. Electron-sucking and driving substituents
Heteronuclear coupling, strong coupling in 1 H-NMR, Karplus relation, ""high order"" phenomena in NMR spectra, structure
clarification.
Elimination of aliphatic compounds. Stereo selectivity and stereo specificity. Electrophilic addition, the chemistry of enols and
enolates. Electrophilic and nucleophilic aromatic substitution. Conjugated addition. The corresponding response mechanisms.
NOE effects in NMR, two-dimensional NMR (1 H-1 H and 13 C-1 H correlated spectra). Dynamic effects in NMR.","Learning objective 1
Ready knowledge and application of functional
groups, the orbitals and their reactivity, fundamental concepts such as conjugation, aromaticity.
Learning objective 2
Insight into the mechanism of the most important reactions that the functional groups can undergo in terms of electron
movement and orbitals, acid and base strength, configuration and conformation
Learning objective 3
Skills in interpreting spectroscopic data of organic compounds. Insight into the relationship between the structure of organic
compounds and their spectra",Bachelor,Applied Sciences,Bachelor Molecular Science and Technology,
Basic Laboratory Skills Course (PBV),4051PRBVAY,"The training in practical skills in the areas of synthesis (organic, inorganic and biochemical) and technology (chemical, physical
and biotechnology). Safety instruction. Report writing. ICT (Excel, Python). Data processing. Error analysis and propagation.","This course teaches first year students basic practical skills. Upon completion of the course, the student has acquired sufficient
skills to be able to start practical experimentation in one of the research groups (see: Research Oriented Learning).",Bachelor,Applied Sciences,Bachelor Molecular Science and Technology,
Quantum Chemistry and Physics,4051QCHFYY,"In this course, in the first part, classical physics as discussed in high school is repeated and deepened. This is followed by an
introduction to quantum mechanics with specific attention to quantum effects that are important in atoms and molecules. Topics
that are covered are:
- Classic mechanics according to Newton
- Oscillations and rotations
- Running and standing waves
- Electrostatics
- Limitations of classical mechanics
- Basic concepts in quantum mechanics
- Schrodinger comparison solutions
- Particle in a box
- Quantum description of harmonic oscillator and rigid rotator
- Electron structure of atoms and simple molecules
- The student is familiar with the basics of classical physics, consisting of Newton
mechanics, standing and running waves, oscillations and rotations and electrostatics
- The student knows the limitations of classical physics and can argue in which cases a
quantum mechanical description is needed
- The student knows the basic principles of quantum mechanics and can apply these to
simple systems
- The student has a basic understanding of the electron structure of atoms and molecules","- The student is familiar with the basics of classical physics, consisting of Newton
mechanics, standing and running waves, oscillations and rotations and electrostatics
- The student knows the limitations of classical physics and can argue in which cases a
quantum mechanical description is needed
- The student knows the basic principles of quantum mechanics and can apply these to
simple systems
- The student has a basic understanding of the electron structure of atoms and molecules",Bachelor,Applied Sciences,Bachelor Molecular Science and Technology,
Biochemistry,4052BIOC6Y,"Amino acids, peptides, proteins, (primary quaternary structure), enzymes, enzyme kinetics, enzyme regulation, lipids,
membranes, membrane proteins, muscle proteins, general principles of metabolism and important metabolic routes. DNA and
RNA structure, DNA replication, DNA transcription, RNA splicing, translation","Part I
1.Know:
Structure and properties of the 20 main amino acids
Protein structure: Secondary and tertiary structural elements such as alpha helix and beta sheet.
The general structure of some fibrous proteins and haemoglobin
2. Can:
Ligand binding and Enzyme catalysis: calculating Kd, know the Michaelis-Menten equation and how to apply it, effects of
inhibitors on Michaelis-Menten.
3. Understanding of
Membrane proteins, transmembrane domains, Potassium channels, membrane fusion and the mechanism of chymotrypsine
4. Recognize:
Structure and properties of:
Sugars: mono-, di- and polysaccharides (starch, glycogen and cellulose)
Lipids: triacylglycerol, glycerophospholipides and sphingolipides
5. Understanding of metabolism:
Seminars provide insight into the functioning of important metabolic pathways, such as glycolysis, gluconeogenesis, citric acid
cycle, oxidative phosphorilation, pentose-phosphate pathway, photosynthesis.
Part II:
6. Know:
Structure and properties of building blocks of DNA and RNA (nucleotides)
DNA and RNA secondary and tertiary structural elements, such as the double helix.
Thermodynamic and chemical stability of DNA and RNA.
Structure of chromosomes and ribosomes
7. Know how the following processes work:
DNA replication and repair. DNA sequencing
Transcription in prokaryotes and eukaryotes, and reverse transcription
RNA processing: splicing of mRNA, ribosomal RNAs, tRNA and microRNAs
Translation of mRNA into eukaryotes and prokaryotes
Translation inhibition by antibiotics and microRNAs",Bachelor,Applied Sciences,Bachelor Molecular Science and Technology,
Biomolecular Chemistry (BMC),4052BMOCHY,"During this course a number of important biological molecules will be discussed from a (organic) chemical perspective. The
biosynthesis of amino acids, sugars, nucleic acids and lipids and their role in the biosynthesis and degradation of complex
biopolymers will be discussed. Certain complex biological processes, such as phosphorylating paths and post-translational
modifications will come to order. A broad frame of view will be made for each biological process. Zooming in, a set of specific
chemical processes and their mechanisms behind it will be discussed.",,Bachelor,Applied Sciences,Bachelor Molecular Science and Technology,
Chemical Biotechnology (CBT),4052CHBIOY,"(cid:9)Introduction on industrial and environmental biotechnology; use of enzymes, pure cultures, mixed cultures; importance of
biomass and sustainability
(cid:9)Nutrients needed for growth of microorganisms
(cid:9)Stoichiometry of microbial conversions according to mass balances
(cid:9)Hyperbolic kinetics for substrate uptake
(cid:9)Herbert-Pirt distribution of substrate between growth, product formation and maintenance; relations between cell mass-specific
rates (mu and q)
(cid:9)Black-box model for aerobic and anaerobic product formation
(cid:9)Determination of the black-box model parameters from batch and chemostat experiments
(cid:9)The fermentor, and determination of relevant transport rates
(cid:9)Design of fermentation in batch and chemostat
(cid:9)Energy conversion pathways
(cid:9)Deriving the product pathway reaction
(cid:9)Deriving the biomass reaction
(cid:9)Microbial competition; application in mixed cultures
(cid:9)Designing enzymatic conversions","- The student will be able to quantitatively analyze and evaluate the most important requirements for microbial growth and
product formation.
- The student will be able to apply simple biokinetic, stoichiometric, and mass/heat transport relationships in calculations with
ideal reactors.
- The student will be able to derive process reactions from data on growth reaction, product pathway reaction, and energy
conversion pathways.",Bachelor,Applied Sciences,Bachelor Molecular Science and Technology,
Chemistry and Physics of Solid Materials,4052CHFVS,"In this course the fundamental chemical and physical properties of solids and materials will be discussed.
We will start with how solids are built up by discussing the bonds between atoms. From there we continue with crystal
structures, Miller indices, the reciprocal space and Brillouin zones. Gradually we will look more and more at the properties of
materials that arise from their structure.
basic chemical and physical properties of solids and materials.
We will start with how solids are built up by discussing the bonds between atoms. From there we continue with crystal
structures, Miller indices, the reciprocal space and Brillouin zones. Gradually we will look more and more at the properties of
materials that arise from their structure.
Essential prior knowledge: chemical thermodynamics, quantum chemistry and physics, calculus 1 and 2, inorganic chemistry.
The following topics will be covered:
Theory of atoms and molecules, including the Bohr model and the quantum mechanical model, and the Schrödinger equation
Theory of solids, including connections in metals, tire structure, and electronic structure
Crystal structures, including X-ray diffraction and Miller indices
Transport properties of solids, including metals, insulators and semiconductors
Optical properties of solids
Diffusion in solids, including thermodynamics and kinetics
Mechanical, thermal and magnetic properties of solids","The student:
- Has an idea based on the atoms how a material is constructed, in terms of bonds and structure.
- Can understand the construction of molecules and materials based on quantum chemical aspects.
- Understands the basics regarding the presence of electronic bands in materials
- Can indicate how diffusion of ions in solids is influenced.
- Can discuss how thermal, mechanical and magnetic properties depend on the material composition.
- Can discuss the factors that influence electrical and optical properties of semiconductors and metals.
- Can make a selection of materials that are suitable for a specific application based on the above aspects",Bachelor,Applied Sciences,Bachelor Molecular Science and Technology,
